Company Name,Job Title,Tags,Posted Before
onPlanet,Marketing Manager dApp,marketing:content:web3:social-media:manager:data:meme:full-time:remote,2d
Swix DAO,Community Manager,remote:marketing:sales:community:content:web3:discord:dao:defi:nft:manager:meme:full-time,6d
Spice DAO,Lead Developer,remote:security:developer:web3:dao:defi:nft:pay-in-crypto:full-time:engineering,24d
Aleph.im,Head Of Marketing And Growth,marketing:community:content:social-media:dao:defi:nft:pay-in-crypto:full-time,20d
Mozaic,Solidity Developer,remote:developer:web3:evm:defi:finance:solidity:pay-in-crypto:full-time:engineering,10d
Galaxy Guild,Head of Marketing,remote:marketing:research:content:social-media:defi:nft:data:full-time:community,21d
AnRKey X,Marketing Manager,remote:research:sales:operations:business-development:defi:nft:finance:manager:data:pay-in-crypto:full-time,20d
Lisk,Backend Developer - Blockchain/SDK/NodeJS/TypeScript,remote:security:developer:rust:c-plus-plus:javascript:typescript:quality-assurance:defi:substrate:finance:data:full-time:engineering,23d
Revest Finance,Project Manager,remote:project-manager:operations:developer:defi:nft:finance:manager:full-time,6d
TBA,Cofounder/CTO for a new innovative omni-chain defi primitive,remote:security:developer:web3:defi:solidity:pay-in-crypto:full-time:engineering,23d
Swix DAO,Solidity Engineer,security:developer:web3:dao:typescript:defi:nft:data:solidity:pay-in-crypto:full-time:engineering,19d
Zomfi Tech LLC,Unity 3D Developer,remote:full-time:developer:defi:nft:gamefi,8d
Cudo,Grant Program Manager,remote:marketing:legal:community:business-development:developer:web3:executive:human-resources:defi:nft:finance:manager:full-time,17d
Emurgo,Software Engineer (Frontend) - 3 months contract with option to extend,remote:devops:security:developer:engineering:react:javascript:typescript:react-native:defi:frontend:manager:pay-in-crypto,14d
Emurgo,React Native Developer - 3 months contract with option to extend,remote:research:developer:engineering:react:javascript:typescript:react-native:swift:objective-c:defi:pay-in-crypto:full-time,14d
Emurgo,Software Engineer - Backend - 3 months contract with possible to extend,remote:devops:developer:engineering:rust:react:javascript:typescript:defi:manager:full-time,14d
Bridgesplit,Founding Engineering Manager,devops:full-time:developer:engineering:web3:rust:react:solana:javascript:defi:nft:manager,16d
CERE Network,Business Development Manager,marketing:sales:legal:business-development:developer:engineering:defi:manager:full-time:remote,2d
Drops DAO,Business Developer,remote:developer:discord:defi:nft:pay-in-crypto:full-time:marketing,27d
Weybridge,Blockchain Security Engineer,research:security:full-time:developer:engineering:phd:golang:rust:evm:defi:solidity,13d
Weybridge,Token Economic Researcher,research:operations:developer:engineering:phd:web3:python:defi:data:full-time:trading,13d
Weybridge,Smart Contract Engineer,remote:security:full-time:developer:engineering:web3:golang:rust:evm:react:typescript:defi:frontend:data:solidity,13d
Drops DAO,Web3 Frontend developer,developer:engineering:web3:react:javascript:typescript:defi:nft:frontend:solidity:full-time:remote,6d
UMA,Front End Engineer,remote:community:full-time:developer:web3:react:javascript:typescript:defi:finance:frontend:solidity:engineering,16d
Fuku,Lead Frontend Engineer,remote:developer:web3:react:defi:nft:frontend:pay-in-crypto:full-time:engineering,23d
Keyrock S.A,Marketing Specialist,remote:marketing:sales:content:web3:social-media:discord:defi:full-time,23d
Bridge Mutual,Front-End Developer,remote:research:developer:web3:react:dao:javascript:defi:nft:frontend:pay-in-crypto:full-time:engineering,27d
Conductive ,Senior Fullstack Engineer,developer:engineering:web3:react:javascript:typescript:defi:nft:finance:frontend:pay-in-crypto:full-time,22d
Balancer,Senior Frontend Engineer,remote:developer:web3:react:javascript:typescript:defi:frontend:solidity:full-time,9d
Bridge Mutual,Business Development Representative,marketing:sales:legal:community:content:business-development:web3:compliance:kyc:social-media:executive:discord:dex:defi:finance:full-time:remote,7d
Myosin.xyz,Growth Marketing Manager,marketing:community:discord:dao:defi:nft:manager:pay-in-crypto:full-time,23d
Advanced Blockchain,Senior Solidity Developer,remote:research:full-time:developer:evm:defi:data:solidity:engineering,24d
Telos Network,Product Manager / Product Owner,marketing:research:legal:community:product-manager:business-development:compliance:kyc:solana:defi:manager:pay-in-crypto:full-time:engineering:developer,22d
Autonio Foundation,Rust Developer,remote:security:full-time:developer:rust:defi:data:pay-in-crypto:engineering,20d
Bluejay Finance,Community Manager,community:content:discord:defi:finance:manager,18d
Advanced Blockchain AG,Developer Relations,remote:non-tech:marketing:legal:community:community-management:full-time:developer:engineering:web3:compliance:discord:defi:finance:solidity,6d
Advanced Blockchain AG,DeFi Education Representative,remote:marketing:community:content:internship:full-time:social-media:entry-level:defi,6d
Advanced Blockchain AG,Senior Solidity Developer,remote:research:full-time:developer:evm:defi:data:solidity,6d
Advanced Blockchain AG,Senior Substrate Rust Developer,remote:research:security:full-time:developer:engineering:rust:defi:polkadot:substrate,6d
Advanced Blockchain AG,Rust Developer (Solana),remote:research:security:full-time:developer:engineering:rust:solana:defi:substrate,6d
Kosen Labs,Product Lead,remote:research:web3:defi:data:pay-in-crypto:full-time:engineering:developer,13d
Daylight,Senior Backend Engineer,remote:developer:engineering:web3:senior:typescript:defi:full-time,1d
district0x.io,Solidity Developer,remote:developer:web3:react:defi:solidity:pay-in-crypto:full-time:engineering,1m
Open Earth Foundation,Director of Open Technology (CTO),remote:cto:devops:research:operations:full-time:part-time:developer:engineering:phd:web3:evm:director:react:python:defi:polkadot:data,23d
MetaPrime,Technical Product Manager,remote:marketing:research:community:product-manager:defi:nft:polkadot:manager:data:pay-in-crypto:full-time:engineering:developer,22d
The Defiant,Full Stack Developer,remote:marketing:security:full-time:developer:ui-ux:web3:react:python:javascript:defi:frontend:data:pay-in-crypto:engineering,22d
ForceField Digital,Paid Media Marketing Manager,marketing:research:content:social-media:defi:manager:data:full-time,22d
Kosen Labs,Blockchain Engineer,remote:developer:engineering:web3:evm:defi:finance:data:solidity:pay-in-crypto:full-time,21d
Kosen Labs,Head of Blockchain Engineering,remote:security:developer:engineering:junior-level:defi:finance:data:solidity:pay-in-crypto:full-time,21d
LQFI,Head of Trading,trading:research:operations:defi:full-time,18d
Open Earth Foundation,DLT & Web3 Engineer: Building Decentralized Climate Solutions,remote:devops:research:full-time:part-time:developer:phd:web3:rust:evm:react:python:defi:polkadot:data:solidity,9d
Murasaki B.V,Community Manager,sales:community:content:director:nft:manager:full-time:remote,3d
The SolaVerse,Community/Marketing Manager,marketing:community:content:discord:nft:manager:full-time,17d
Infinitro Ltd,Full Stack iGaming Software Developer,security:developer:engineering:web3:react:javascript:nft:frontend:pay-in-crypto:full-time:remote,11d
Qonneta Labs,Technical Product Manager,research:legal:product-manager:web3:compliance:nft:manager:data:pay-in-crypto:full-time:engineering:developer,13d
Immutable,Global Head Of Community,community:content:social-media:executive:nft:full-time,20d
Bridgesplit,Head of Marketing,marketing:community:content:full-time:social-media:solana:nft:engineering:developer,21d
YUNIT,Social Media Manager,remote:community:social-media:junior-level:nft:manager:pay-in-crypto:full-time,29d
Collectors,"Principal Software Engineer, NFTs",remote:trading:community:security:full-time:developer:engineering:exchange:web3:social-media:react:dao:junior-level:javascript:typescript:nft:frontend:data:solidity,7d
Highvibe Network,NFT Collections Manager,remote:community:content:project-manager:operations:full-time:web3:director:discord:dao:nft:manager:pay-in-crypto,24d
Hypery Music,Rust Blockchain Developer,remote:developer:rust:solana:typescript:nft:solidity:full-time:engineering,29d
CrossFi,Community management specialist,remote:marketing:community:community-management:full-time:social-media:discord:defi:nft,3d
FIRSTE ELEVEN CLUB,SOCIAL MEDIA & MARKETING LEAD,marketing:community:social-media:nft:manager:pay-in-crypto:full-time,26d
BAI Capital,Crypto/Web 3.0 Investment analyst or associate,research:analyst:web3:defi:nft:gamefi:full-time:trading,19d
Archimed.ai,Back End Developer / Data Engineer for NFT Data Warehouse,remote:full-time:developer:engineering:python:nft:data,24d
Crowdcreate,Content Writer (Copywriter) *IMMEDIATE HIRING*,marketing:community:content:content-writer:web3:social-media:nft:pay-in-crypto:full-time,23d
Automobilist s.r.o.,NFT Program manager,remote:marketing:sales:community:project-manager:business-development:developer:discord:defi:nft:finance:manager:full-time:trading,23d
Miuzium,Executive Assistant to NFT Executive,executive:discord:nft:data:full-time:engineering:developer,22d
Miuzium,NFT Social Media Manager,remote:marketing:community:content:operations:full-time:developer:web3:social-media:discord:nft:manager,22d
Wojak Finance,Growth Marketing Specialist / Chief Marketing Officer,remote:marketing:community:community-management:content:operations:developer:web3:social-media:defi:nft:finance:data:pay-in-crypto:full-time,11d
Watcher Guru,Crypto SEO Writer/Researcher,research:content:discord:defi:nft:pay-in-crypto:full-time:trading:remote,10d
ARC Inc,Fullstack Engineer,developer:javascript:typescript:nft:frontend:full-time:remote,2d
PlayToEarn.net,NFT-Gaming News Writer,full-time:nft:remote,1d
Autonomy Network,Product Designer (UI/UX)  / Graphic Designer,remote:product-designer:developer:ui-ux:web3:designer:javascript:defi:nft:data:full-time,7d
Artcade Limited,Web3 Developer,devops:product-manager:developer:engineering:web3:react:designer:javascript:typescript:defi:nft:frontend:manager:solidity:full-time,1d
Coinbase,"Sr. Institutional Onboarding Associate, Transition Team (Prime Broker)",remote:trading:sales:legal:project-manager:operations:developer:engineering:compliance:executive:dao:defi:nft:finance:manager:data:full-time,1m
Coinbase,Cloud Solutions Architect,remote:trading:legal:developer:python:dao:junior-level:defi:nft:finance:data:full-time,1m
Coinbase,"Sr. Manager, Creator Management - NFTs",remote:non-tech:marketing:trading:legal:operations:business-development:web3:compliance:dao:defi:nft:finance:manager:data:full-time,29d
Coinbase,"Sr. Manager, Program Management - NFT Marketplace",remote:non-tech:marketing:trading:legal:community:business-development:web3:dao:defi:nft:finance:manager:data:full-time,29d
Coinbase,International Financial Crimes Compliance Advisory Manager,remote:trading:legal:aml:compliance:dao:defi:nft:finance:manager:data:full-time,29d
Coinbase,"Program Management Associate, NFT Marketplace",remote:non-tech:marketing:trading:legal:operations:business-development:web3:compliance:dao:defi:nft:finance:data:full-time,29d
Stardust Cards Corporation,Site Reliability Engineer,remote:developer:engineering:python:defi:nft:finance:full-time,29d
Stardust Cards Corporation,Senior Database-Backend,remote:research:developer:engineering:python:typescript:nft:finance:full-time,29d
Brave,"Product Marketing Manager, Wallet",remote:marketing:research:developer:engineering:web3:dao:javascript:dex:defi:nft:manager:data:full-time,28d
Nethermind,Ethereum Core Developer,remote:developer:engineering:rust:evm:dao:c-plus-plus:dex:data:full-time,7d
Nethermind,Golang Engineer - StarkNet Client,remote:developer:golang:evm:dex:data:full-time,7d
HOKK Finance,Community Manager,community:content:social-media:dao:finance:manager:full-time:remote,28d
Desmos Partners,Quant Developer & Analyst,remote:legal:analyst:operations:developer:engineering:compliance:director:python:c-plus-plus:manager:data:solidity:full-time,28d
Galaxy Guild,Senior Developer,developer:golang:rust:react:solana:javascript:full-time:engineering,15d
Xportal,Sales and Business Development Lead,remote:pay-in-crypto:marketing:sales:business-development:full-time,9d
The SolaVerse,Three.js/3D/WebGL Developer,developer:react:javascript:pay-in-crypto:full-time:engineering,17d
Bunzz,Designing our tokenomics for build developer's ecosystem,content:developer:web3:full-time:engineering:remote,24d
SpaceBorne,Game economist,remote:full-time:designer:pay-in-crypto:design,22d
Blockfinex/ Dan Holdings ,Corporate Controller/ Junior Platform Accountant,remote:developer:exchange:junior-level:finance:data:full-time,20d
Mawson Inc,Assistant General Manager,operations:developer:engineering:mining:compliance:manager:full-time,3d
Autonomy Network,Talent Acquisition / Recruiter,remote:content:developer:web3:recruiter:talent-acquisition:full-time,8d
KodaDot,Senior Business and Operations Manager,marketing:operations:manager:pay-in-crypto:full-time:engineering:developer,24d
La Meilleure Formation,Head of Community (Gaming),remote:marketing:community:discord:manager:data:full-time:engineering:developer,20d
Bridgesplit,Lead Product Designer,marketing:product-designer:full-time:web3:designer:solana:engineering:developer,21d
Studio Decent- Undra,Lead Developer- Elixer/ LiveView blockchain gaming,developer:director:junior-level:frontend:manager:full-time:remote,7d
C3,Low Level Smart Contract Engineer (Remote Americas and Europa Time zone),remote:content:security:developer:engineering:finance:data:solidity:pay-in-crypto:full-time,16d
Coinbase,"Senior Content Designer, Platform",remote:trading:legal:content:dao:designer:defi:nft:finance:data:full-time,25d
Coinbase,Senior Site Reliability Engineer,remote:trading:legal:developer:engineering:dao:junior-level:defi:nft:finance:data:full-time,16d
Coinbase,Technical Partner Manager - NFTs,remote:non-tech:trading:sales:legal:business-development:engineering:dao:defi:nft:finance:manager:data:full-time,25d
Coinbase,"Senior Manager, Business Development - NFTs",remote:non-tech:marketing:trading:legal:business-development:web3:compliance:dao:defi:nft:finance:manager:data:full-time,20d
Coinbase,"QA Manager, Institutional",remote:trading:legal:operations:exchange:dao:quality-assurance:defi:nft:finance:manager:data:full-time,25d
Coinbase,Technical Trainer,remote:trading:legal:content:product-manager:engineering:react:dao:javascript:defi:nft:finance:manager:data:full-time,25d
Coinbase,"Director, Payments Business Development",remote:trading:legal:business-development:compliance:director:dao:defi:nft:finance:data:full-time,28d
Coinbase,"Manager, Creator Management - NFTs",remote:non-tech:marketing:trading:legal:community:business-development:web3:dao:defi:nft:finance:manager:data:full-time,26d
Coinbase,"Manager, Business Development - NFTs",remote:non-tech:marketing:trading:legal:business-development:web3:dao:defi:nft:finance:manager:data:full-time,26d
Acala,Solidity Engineer,remote:community:security:full-time:developer:engineering:exchange:web3:rust:evm:defi:polkadot:substrate:manager:solidity,27d
Acala,"Product Manager, DeFi & DAO",remote:research:community:product-manager:full-time:developer:engineering:exchange:web3:rust:dao:defi:polkadot:substrate:manager:data,21d
MoonPay,Head of Sales Operations,remote:research:sales:operations:web3:recruiter:manager:full-time,19d
Braintrust,Business Analysis / Project Management [REMOTE],remote:research:data:full-time,26d
MoonPay,KYC Onboarding Analyst (Poland),remote:research:legal:analyst:compliance:kyc:recruiter:data:full-time,23d
MoonPay,Customer Onboarding Manager (Poland),remote:research:legal:aml:compliance:director:recruiter:manager:data:full-time,23d
MoonPay,Senior Data Scientist,remote:research:developer:compliance:python:data:full-time,19d
MoonPay,Customer Operations Analyst (EMEA),remote:research:legal:analyst:operations:compliance:kyc:social-media:recruiter:data:full-time,20d
Parity Technologies,Talent Acquisition Recruiter (Non Tech),remote:non-tech:analyst:developer:rust:social-media:recruiter:talent-acquisition:polkadot:substrate:full-time,19d
Polygon,Business IT Architect (REMOTE),remote:legal:developer:polygon:compliance:discord:data:full-time,27d
Polygon,DeFi Community Manager/Engager (REMOTE),remote:marketing:legal:community:community-management:content:developer:polygon:web3:discord:defi:manager:data:full-time,27d
Braintrust,"Lead iOS Engineer (US only, No C2C)",remote:freelance:developer:engineering:remote-usa:swift:manager:data,23d
MoonPay,Senior Site Reliability Engineer (SRE),remote:research:security:developer:engineering:compliance:typescript:recruiter:finance:full-time,1m
Braintrust,"Product Manager, Client Experience",remote:research:sales:community:product-manager:freelance:developer:engineering:defi:manager:data:full-time,29d
AP Capital,Senior/Quant Developer,remote:trading:research:developer:engineering:python:finance:data:full-time,22d
Polygon,Design Program Manager - Marketing,remote:marketing:legal:operations:developer:polygon:social-media:director:discord:defi:manager:data:full-time,29d
